,Jahr,Jahresmitteltemperatur [Â°C]
0,1880.0,
1,1881.0,7.3352
2,1882.0,8.3661
3,1883.0,7.9099
4,1884.0,8.5892
5,1885.0,7.7726
6,1886.0,8.0397
7,1887.0,6.9745
8,1888.0,6.8753
9,1889.0,7.4037
10,1890.0,7.3318
11,1891.0,7.4463
12,1892.0,7.5188
13,1893.0,7.9193
14,1894.0,8.1495
15,1895.0,7.3304
16,1896.0,7.5988
17,1897.0,7.9569
18,1898.0,8.5261
19,1899.0,8.1046
20,1900.0,8.3679
21,1901.0,7.6658
22,1902.0,7.1959
23,1903.0,8.3747
24,1904.0,8.3742
25,1905.0,7.9752
26,1906.0,8.3098
27,1907.0,7.8265
28,1908.0,7.4973
29,1909.0,7.3716
30,1910.0,8.4283
31,1911.0,9.0655
32,1912.0,7.8743
33,1913.0,8.5486
34,1914.0,8.5407
35,1915.0,7.9342
36,1916.0,8.4714
37,1917.0,7.5608
38,1918.0,8.5527
39,1919.0,7.3367
40,1920.0,8.6471
41,1921.0,9.0178
42,1922.0,7.2077
43,1923.0,8.0028
44,1924.0,7.5416
45,1925.0,8.3368
46,1926.0,8.7544
47,1927.0,8.0521
48,1928.0,8.3575
49,1929.0,7.378
50,1930.0,8.7668
51,1931.0,7.5613
52,1932.0,8.3468
53,1933.0,7.6344
54,1934.0,9.5593
55,1935.0,8.4436
56,1936.0,8.3948
57,1937.0,8.5984
58,1938.0,8.6087
59,1939.0,8.3174
60,1940.0,6.6403
61,1941.0,7.1721
62,1942.0,7.3005
63,1943.0,8.9003
64,1944.0,8.314
65,1945.0,8.9875
66,1946.0,8.407
67,1947.0,8.5319
68,1948.0,9.0715
69,1949.0,9.1619
70,1950.0,8.6185
71,1951.0,8.7356
72,1952.0,7.9543
73,1953.0,8.9446
74,1954.0,7.7043
75,1955.0,7.5506
76,1956.0,6.846
77,1957.0,8.5933
78,1958.0,8.2213
79,1959.0,9.0328
80,1960.0,8.408
81,1961.0,8.9509
82,1962.0,7.1547
83,1963.0,7.11
84,1964.0,8.1382
85,1965.0,7.4856
86,1966.0,8.5141
87,1967.0,8.8942
88,1968.0,8.1501
89,1969.0,7.7593
90,1970.0,7.717
91,1971.0,8.4301
92,1972.0,7.8186
93,1973.0,8.2173
94,1974.0,8.8257
95,1975.0,8.9265
96,1976.0,8.4658
97,1977.0,8.67
98,1978.0,7.7889
99,1979.0,7.7192
100,1980.0,7.6288
101,1981.0,8.1955
102,1982.0,8.8985
103,1983.0,9.0463
104,1984.0,7.973
105,1985.0,7.4231
106,1986.0,7.9277
107,1987.0,7.4432
108,1988.0,9.0666
109,1989.0,9.4756
110,1990.0,9.49
111,1991.0,8.3525
112,1992.0,9.3789
113,1993.0,8.4728
114,1994.0,9.7048
115,1995.0,8.8997
116,1996.0,7.2052
117,1997.0,8.8901
118,1998.0,9.0673
119,1999.0,9.4935
120,2000.0,9.8733
121,2001.0,9.0199
122,2002.0,9.5589
123,2003.0,9.3783
124,2004.0,8.944
125,2005.0,8.9914
126,2006.0,9.5514
127,2007.0,9.86
128,2008.0,9.4858
129,2009.0,9.1847
130,2010.0,7.8535
131,2011.0,9.634991666666666
132,2012.0,9.09
133,2013.0,8.71
134,2014.0,10.3
135,2015.0,9.9
136,2016.0,9.5
137,2017.0,9.6
138,2018.0,10.5
139,2019.0,10.3
140,2020.0,10.4
141,,8.381784940476187
142,,8.243483333333334
143,,8.558949999999998
144,,8.870183333333332
145,,9.30336638888889
146,,7.775829999999997
